timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
1/1/2000 2:38,0,0,0.003323121
1/1/2000 2:39,0,0,0.003077006
1/1/2000 2:39,0,0,0.003630079
1/1/2000 2:39,109,1,0.080353793
1/1/2000 2:39,12,1,0.018434607
1/1/2000 2:40,0,0,0.007191169
1/1/2000 2:40,0,0,0.006972525
1/1/2000 2:40,0,0,0.006901047
1/1/2000 2:40,0,0,0.007026451
1/1/2000 2:41,0,0,0.007131959
1/1/2000 2:41,0,0,0.007892969
1/1/2000 2:41,0,0,0.006823109
1/1/2000 2:41,0,0,0.007011734
1/1/2000 2:42,0,0,0.00708
1/1/2000 2:42,0,0,0.007117741
1/1/2000 2:42,0,0,0.006994836
1/1/2000 2:42,0,0,0.0071794
1/1/2000 2:43,0,0,0.007195745
1/1/2000 2:43,0,0,0.006942388
1/1/2000 2:43,0,0,0.007721062
1/1/2000 2:43,0,0,0.007002824
1/1/2000 2:44,0,0,0.006852126
1/1/2000 2:44,0,0,0.006829159
1/1/2000 2:44,0,0,0.006844767
1/1/2000 2:44,0,0,0.00681091
1/1/2000 2:45,23,1,0.021304298
1/1/2000 2:45,0,0,0.003188289
1/1/2000 2:45,0,0,0.002708766
1/1/2000 2:45,0,0,0.002866948
1/1/2000 2:46,0,0,0.002592999
1/1/2000 2:46,0,0,0.002400528
1/1/2000 2:46,0,0,0.002570681
1/1/2000 2:46,0,0,0.002446165
1/1/2000 2:47,0,0,0.002629546
1/1/2000 2:47,0,0,0.002404072
1/1/2000 2:47,0,0,0.002427291
1/1/2000 2:47,0,0,0.00262691
1/1/2000 2:48,0,0,0.002251183
1/1/2000 2:48,0,0,0.002293596
1/1/2000 2:48,0,0,0.002454279
1/1/2000 2:48,0,0,0.006015691
1/1/2000 2:49,8,0,0.011673433
1/1/2000 2:49,3,0,0.002923287
1/1/2000 2:49,0,0,0.002572007
1/1/2000 2:49,0,0,0.002671234
1/1/2000 2:50,0,0,0.003003564
1/1/2000 2:50,0,0,0.002573888
1/1/2000 2:50,0,0,0.002421693
1/1/2000 2:50,0,0,0.00237274
1/1/2000 2:51,0,0,0.002411214
1/1/2000 2:51,0,0,0.002571647
1/1/2000 2:51,0,0,0.002556333
1/1/2000 2:51,0,0,0.003236575
1/1/2000 2:52,0,0,0.002730702
1/1/2000 2:52,0,0,0.002412507
1/1/2000 2:52,0,0,0.002370375
1/1/2000 2:52,0,0,0.002109764
1/1/2000 2:53,0,0,0.002243647
1/1/2000 2:53,0,0,0.002328123
1/1/2000 2:53,0,0,0.002142966
1/1/2000 2:53,0,0,0.003051442
1/1/2000 2:54,0,0,0.002262664
1/1/2000 2:54,0,0,0.002159035
1/1/2000 2:54,0,0,0.00209913
1/1/2000 2:54,0,0,0.002167992
1/1/2000 2:55,0,0,0.002181165
1/1/2000 2:55,0,0,0.002169108
1/1/2000 2:55,0,0,0.002264377
1/1/2000 2:55,0,0,0.002959763
1/1/2000 2:56,0,0,0.002255692
1/1/2000 2:56,0,0,0.002206972
1/1/2000 2:56,0,0,0.002581875
1/1/2000 2:56,0,0,0.002269826
1/1/2000 2:57,0,0,0.002142201
1/1/2000 2:57,0,0,0.002307843
1/1/2000 2:57,0,0,0.002433484
1/1/2000 2:57,0,0,0.002681729
1/1/2000 2:58,0,0,0.002272727
1/1/2000 2:58,0,0,0.002265157
1/1/2000 2:58,0,0,0.002126542
1/1/2000 2:58,0,0,0.002423118
1/1/2000 2:59,0,0,0.002852771
1/1/2000 2:59,0,0,0.002203342
1/1/2000 2:59,0,0,0.002222575
1/1/2000 2:59,0,0,0.006251827
1/1/2000 3:00,0,0,0.002168608
1/1/2000 3:00,0,0,0.001750991
1/1/2000 3:00,0,0,0.001636407
1/1/2000 3:00,0,0,0.0027576
1/1/2000 3:01,0,0,0.001970429
1/1/2000 3:01,0,0,0.001770473
1/1/2000 3:01,0,0,0.002167767
1/1/2000 3:01,0,0,0.002305564
1/1/2000 3:02,0,0,0.002107798
1/1/2000 3:02,0,0,0.00204524
1/1/2000 3:02,0,0,0.002212485
1/1/2000 3:02,0,0,0.002207851
1/1/2000 3:03,0,0,0.002144945
1/1/2000 3:03,0,0,0.002222787
1/1/2000 3:03,0,0,0.002321982
1/1/2000 3:03,0,0,0.002303034
1/1/2000 3:04,0,0,0.00259532
1/1/2000 3:04,0,0,0.002598199
1/1/2000 3:04,91,1,0.066699705
1/1/2000 3:04,17,1,0.017141662
1/1/2000 3:05,0,0,0.007344857
1/1/2000 3:05,0,0,0.007225683
1/1/2000 3:05,0,0,0.007226425
1/1/2000 3:05,0,0,0.007348751
1/1/2000 3:06,0,0,0.006985751
1/1/2000 3:06,0,0,0.006939407
1/1/2000 3:06,2,0,0.00933936
1/1/2000 3:06,0,0,0.007299567
1/1/2000 3:07,0,0,0.007240063
1/1/2000 3:07,0,0,0.00718392
1/1/2000 3:07,0,0,0.008957022
1/1/2000 3:07,0,0,0.008936075
1/1/2000 3:08,0,0,0.006670872
1/1/2000 3:08,0,0,0.006676857
1/1/2000 3:08,0,0,0.006750116
1/1/2000 3:08,0,0,0.006911951
1/1/2000 3:09,0,0,0.006570832
1/1/2000 3:09,2,0,0.009293412
1/1/2000 3:09,0,0,0.007586281
1/1/2000 3:09,0,0,0.006980304
1/1/2000 3:10,0,0,0.006843176
1/1/2000 3:10,0,0,0.007076869
1/1/2000 3:10,0,0,0.006728022
1/1/2000 3:10,0,0,0.006870724
1/1/2000 3:11,0,0,0.006898812
1/1/2000 3:11,0,0,0.006925389
1/1/2000 3:11,0,0,0.007005691
1/1/2000 3:11,0,0,0.007611345
1/1/2000 3:12,0,0,0.007120562
1/1/2000 3:12,0,0,0.007086138
1/1/2000 3:12,0,0,0.007094908
1/1/2000 3:12,0,0,0.007163202
1/1/2000 3:13,0,0,0.007730793
1/1/2000 3:13,0,0,0.007285744
1/1/2000 3:13,0,0,0.007180334
1/1/2000 3:13,0,0,0.006927785
1/1/2000 3:14,0,0,0.007369008
1/1/2000 3:14,0,0,0.00702326
1/1/2000 3:14,0,0,0.007042951
1/1/2000 3:14,0,0,0.006876328
1/1/2000 3:15,0,0,0.006783113
1/1/2000 3:15,0,0,0.006902575
1/1/2000 3:15,0,0,0.007542241
1/1/2000 3:15,0,0,0.007630329
1/1/2000 3:16,0,0,0.007301801
1/1/2000 3:16,0,0,0.007033733
1/1/2000 3:16,0,0,0.007549074
1/1/2000 3:16,0,0,0.007094619
1/1/2000 3:17,0,0,0.00705196
1/1/2000 3:17,0,0,0.007937865
1/1/2000 3:17,0,0,0.007083083
1/1/2000 3:17,0,0,0.007052145
1/1/2000 3:18,0,0,0.008057991
1/1/2000 3:18,0,0,0.007031235
1/1/2000 3:18,0,0,0.007595813
1/1/2000 3:18,2,0,0.008699536
1/1/2000 3:19,0,0,0.007335145
1/1/2000 3:19,0,0,0.007217545
1/1/2000 3:19,0,0,0.007392167
1/1/2000 3:19,0,0,0.007080434
1/1/2000 3:20,0,0,0.007777493
1/1/2000 3:20,0,0,0.007328441
1/1/2000 3:20,0,0,0.007067147
1/1/2000 3:20,0,0,0.007027006
1/1/2000 3:21,0,0,0.007416291
1/1/2000 3:21,0,0,0.007185116
1/1/2000 3:21,0,0,0.006973915
1/1/2000 3:21,0,0,0.006960901
1/1/2000 3:22,0,0,0.006967516
1/1/2000 3:22,0,0,0.00695055
1/1/2000 3:22,0,0,0.006933358
1/1/2000 3:22,0,0,0.006971378
1/1/2000 3:23,0,0,0.006997076
1/1/2000 3:23,0,0,0.006952576
1/1/2000 3:23,0,0,0.006911712
1/1/2000 3:23,0,0,0.006949626
1/1/2000 3:24,0,0,0.006961365
1/1/2000 3:24,0,0,0.00736674
1/1/2000 3:24,0,0,0.007029339
1/1/2000 3:24,0,0,0.006960667
1/1/2000 3:25,0,0,0.006965656
1/1/2000 3:25,0,0,0.006914869
1/1/2000 3:25,0,0,0.007040697
1/1/2000 3:25,2,0,0.01517298
1/1/2000 3:26,3,0,0.008794126
1/1/2000 3:26,0,0,0.007611125
1/1/2000 3:26,0,0,0.007595791
1/1/2000 3:26,0,0,0.007411048
1/1/2000 3:27,2,1,0.022216735
1/1/2000 3:27,182,1,0.040907495
1/1/2000 3:27,0,0,0.007946176
1/1/2000 3:27,0,0,0.008525102
1/1/2000 3:28,0,0,0.007989035
1/1/2000 3:28,0,0,0.008125494
1/1/2000 3:28,0,0,0.00816765
1/1/2000 3:28,0,0,0.008151422
1/1/2000 3:29,0,0,0.008141389
1/1/2000 3:29,0,0,0.008187848
1/1/2000 3:29,0,0,0.008163499
1/1/2000 3:29,0,0,0.008179525
1/1/2000 3:30,0,0,0.008031859
1/1/2000 3:30,0,0,0.008386164
1/1/2000 3:30,0,0,0.008072569
1/1/2000 3:30,0,0,0.008389753
1/1/2000 3:31,0,0,0.008317219
1/1/2000 3:31,0,0,0.008183101
1/1/2000 3:31,0,0,0.008148731
1/1/2000 3:31,0,0,0.008039073
1/1/2000 3:32,0,0,0.00808805
1/1/2000 3:32,0,0,0.008065963
1/1/2000 3:32,0,0,0.008016837
1/1/2000 3:32,0,0,0.008067674
1/1/2000 3:33,0,0,0.008102244
1/1/2000 3:33,0,0,0.008132044
1/1/2000 3:33,0,0,0.008179882
1/1/2000 3:33,0,0,0.008087196
1/1/2000 3:34,0,0,0.007972604
1/1/2000 3:34,0,0,0.008201062
1/1/2000 3:34,0,0,0.008157427
1/1/2000 3:34,0,0,0.007970351
1/1/2000 3:35,0,0,0.008096587
1/1/2000 3:35,0,0,0.008211593
1/1/2000 3:35,0,0,0.008022174
1/1/2000 3:35,0,0,0.00811469
1/1/2000 3:36,0,0,0.008132766
1/1/2000 3:36,0,0,0.008214276
1/1/2000 3:36,9,0,0.013710217
1/1/2000 3:36,0,0,0.008309217
1/1/2000 3:37,0,0,0.008558302
1/1/2000 3:37,0,0,0.008489223
1/1/2000 3:37,0,0,0.008586641
